品牌名称,商品id,date1105,date1106,date1107,date1108,date1109,date1110,date1111,date1112,date1113,date1114
相宜本草,A10027317366,258,258,258,258,258,258,159,188,188,188
相宜本草,A12620554096,178,178,178,178,178,178,118,118,118,118
相宜本草,A13047655105,64,64,64,64,64,64,32,49,49,64
相宜本草,A13421025693,118,118,118,118,118,118,78,98,98,118
相宜本草,A14454708036,128,128,128,128,128,128,64,128,128,128
相宜本草,A15182329900,138,138,138,138,138,138,100,128,128,138
相宜本草,A13956982789,218,218,218,218,218,218,134,218,218,218
相宜本草,A15648674791,342,342,342,342,342,342,169,188,188,188
相宜本草,A18346600085,79,79,79,79,79,79,39.5,79,79,79
相宜本草,A19191568229,89,89,89,89,89,89,44.5,69,69,89
相宜本草,A20438280981,105,105,105,105,105,105,49,105,105,105
相宜本草,A20446335583,68,68,68,68,68,68,34,68,68,68
相宜本草,A22027747948,75,75,75,75,75,75,40,69,69,75
相宜本草,A2251615486,108,108,108,108,108,108,54,79,79,108
相宜本草,A2252191048,79,79,79,79,79,79,39.5,79,79,79
相宜本草,A2253281880,22.8,22.8,22.8,22.8,22.8,22.8,12.9,22.8,22.8,22.8
相宜本草,A2253282718,138,138,138,138,138,138,69,138,138,138
相宜本草,A2253305238,69,69,69,69,69,69,34.5,69,69,69
相宜本草,A2253978004,118,118,118,118,118,118,59,118,118,118
相宜本草,A23213756586,85,85,85,85,85,85,42.5,69,69,85
相宜本草,A2519405448,69,69,69,69,69,69,34.5,69,69,69
相宜本草,A3096780174,89,89,89,89,89,89,44.5,69,69,89
相宜本草,A35521032908,109,109,109,109,109,109,54.5,109,109,109
相宜本草,A35736583445,233,233,233,233,233,233,116,168,168,233
相宜本草,A37346618814,89,89,89,89,89,89,44.5,89,89,89
相宜本草,A37354729514,69,69,69,69,69,69,34.5,69,69,69
相宜本草,A37436662425,99,99,99,99,99,99,49,69,69,99
相宜本草,A39294746425,233,233,233,233,233,233,116,168,168,233
相宜本草,A41639931913,80,80,80,80,80,80,40,80,80,80
相宜本草,A41647141924,79,79,79,79,79,79,39.5,79,79,79
相宜本草,A41715384674,119,119,119,119,119,119,59,119,119,119
相宜本草,A43453058444,258,258,258,258,258,258,200,238,238,258
相宜本草,A43462886706,373,373,373,373,373,373,176,198,198,218
相宜本草,A45470827080,98,98,98,98,98,98,49,98,98,98
相宜本草,A45558340726,109,109,109,109,109,109,54.5,109,109,109
相宜本草,A520305131661,128,128,128,128,128,128,64,128,128,128
相宜本草,A520307554770,148,148,148,148,148,148,74,148,148,148
相宜本草,A520425060059,88,88,88,88,88,88,44,88,88,88
相宜本草,A521245728594,68,68,68,68,68,68,34,68,68,68
相宜本草,A522541079975,148,148,148,148,148,148,74,148,148,148
相宜本草,A522578990345,169,169,169,169,169,169,98,128,128,169
相宜本草,A523195635862,298,298,298,298,298,298,236,298,298,298
相宜本草,A523225736031,168,168,168,168,168,168,84,168,168,168
相宜本草,A524104552256,237,237,237,237,237,237,89,99,99,237
相宜本草,A526979160804,189,189,189,189,189,189,98,189,189,189
相宜本草,A528180566722,69,69,69,69,69,69,34.5,69,69,69
相宜本草,A528214164460,89,89,89,89,89,89,44.5,89,89,89
相宜本草,A530869992309,188,188,188,188,188,188,169,279,279,279
相宜本草,A532646427195,89,89,89,89,89,89,44.5,89,89,89
相宜本草,A533763057295,307,307,307,307,307,307,150,128,128,307
相宜本草,A536881052520,90,90,90,90,90,90,45,90,90,90
相宜本草,A537493051770,159,159,159,159,159,159,79,159,159,159
相宜本草,A537647976041,109,109,109,109,109,109,49,109,109,109
相宜本草,A538466189350,259,259,259,259,259,259,178,259,259,259
相宜本草,A538773258117,258,258,258,258,258,258,278,278,278,278
相宜本草,A539919712722,138,138,138,138,138,138,69,138,138,138
相宜本草,A540749662875,198,198,198,198,198,198,98,189,189,198
相宜本草,A540796858993,116,116,116,116,116,116,58,116,116,116
相宜本草,A6362027578,60,60,60,60,60,60,30,60,60,60
相宜本草,A9709829810,99,99,99,99,99,99,49.5,69,69,99
