品牌名称,商品id,date1105,date1106,date1107,date1108,date1109,date1110,date1111,date1112,date1113,date1114
自然堂,A18980833277,169,169,169,169,169,169,179,503,503,503
自然堂,A19008350212,249,249,249,249,249,249,198,249,249,249
自然堂,A19009618209,348,348,348,348,348,348,288,348,348,348
自然堂,A19371494116,508,508,508,508,508,508,448,508,508,508
自然堂,A19504102657,76,76,76,76,76,76,53,76,76,76
自然堂,A21301819561,286,286,286,286,286,286,228,286,286,286
自然堂,A24612192437,339,339,339,339,339,339,268,339,339,339
自然堂,A24613052135,418,418,418,418,418,418,328,418,418,418
自然堂,A26631608431,239,239,239,239,239,239,176,239,239,239
自然堂,A41198080050,459,459,459,459,459,459,368,459,459,459
自然堂,A44148996597,170,170,170,170,170,170,95,170,170,170
自然堂,A521250143002,668,668,668,668,668,668,568,668,668,668
自然堂,A522562862000,548,548,548,548,548,548,458,548,548,548
自然堂,A531338636494,108,108,108,108,108,108,64,108,108,108
自然堂,A534266666696,99,99,99,99,99,99,55,99,99,99
自然堂,A537613126508,148,148,148,148,148,148,108,148,148,148
自然堂,A537653165949,96,96,96,96,96,96,68,96,96,96
自然堂,A539970643513,288,288,288,288,288,288,288,695,695,695
