投资方所在城市,融资方所在城市,投资方所在城市_lng,投资方所在城市_lat,融资方所在城市_lng,融资方所在城市_lat
北京,深圳,116.409349,40.184118,113.981097,22.661217
北京,宁波,116.409349,40.184118,121.462284,29.719588
北京,嘉兴,116.409349,40.184118,120.753920,30.654869
上海,北京,121.404085,31.084462,116.409349,40.184118
上海,宁波,121.404085,31.084462,121.462284,29.719588
北京,上海,116.409349,40.184118,121.404085,31.084462
上海,杭州,121.404085,31.084462,119.484701,29.904980
北京,天津,116.409349,40.184118,117.332395,39.308554
上海,深圳,121.404085,31.084462,113.981097,22.661217
深圳,北京,113.981097,22.661217,116.409349,40.184118
上海,嘉兴,121.404085,31.084462,120.753920,30.654869
深圳,上海,113.981097,22.661217,121.404085,31.084462
福州,南平,119.156890,26.064196,118.143818,27.339471
北京,杭州,116.409349,40.184118,119.484701,29.904980
深圳,宁波,113.981097,22.661217,121.462284,29.719588
上海,北京,121.404085,31.084462,116.409349,40.184118
杭州,宁波,119.484701,29.904980,121.462284,29.719588
广州,深圳,113.535310,23.357246,113.981097,22.661217
深圳,嘉兴,113.981097,22.661217,120.753920,30.654869
上海,苏州,121.404085,31.084462,120.641803,31.375971
杭州,湖州,119.484701,29.904980,119.871227,30.746197
厦门,三明,118.110688,24.683045,117.397601,26.299336
天津,北京,117.332395,39.308554,116.409349,40.184118
深圳,珠海,113.981097,22.661217,113.251443,22.161989
杭州,上海,119.484701,29.904980,121.404085,31.084462
北京,上海,116.409349,40.184118,121.404085,31.084462
深圳,北京,113.981097,22.661217,116.409349,40.184118
北京,深圳,116.409349,40.184118,113.981097,22.661217
深圳,广州,113.981097,22.661217,113.535310,23.357246
北京,珠海,116.409349,40.184118,113.251443,22.161989
上海,新余,121.404085,31.084462,114.851203,27.847231
上海,北京,121.404085,31.084462,116.409349,40.184118
北京,上海,116.409349,40.184118,121.404085,31.084462
北京,成都,116.409349,40.184118,103.501068,30.508688
北京,烟台,116.409349,40.184118,120.805460,37.236477
天津,北京,117.332395,39.308554,116.409349,40.184118
上海,南京,121.404085,31.084462,118.842464,31.928759
宁波,上海,121.462284,29.719588,121.404085,31.084462
广州,深圳,113.535310,23.357246,113.981097,22.661217
上海,北京,121.404085,31.084462,116.409349,40.184118
北京,上海,116.409349,40.184118,121.404085,31.084462
北京,厦门,116.409349,40.184118,118.110688,24.683045
北京,深圳,116.409349,40.184118,113.981097,22.661217
北京,天津,116.409349,40.184118,117.332395,39.308554
深圳,北京,113.981097,22.661217,116.409349,40.184118
深圳,杭州,113.981097,22.661217,119.484701,29.904980
北京,苏州,116.409349,40.184118,120.641803,31.375971
深圳,上海,113.981097,22.661217,121.404085,31.084462
北京,芜湖,116.409349,40.184118,118.326618,31.066737
上海,天津,121.404085,31.084462,117.332395,39.308554
北京,广州,116.409349,40.184118,113.535310,23.357246
深圳,上海,113.981097,22.661217,121.404085,31.084462
广州,珠海,113.535310,23.357246,113.251443,22.161989
北京,宁波,116.409349,40.184118,121.462284,29.719588
深圳,新余,113.981097,22.661217,114.851203,27.847231
上海,镇江,121.404085,31.084462,119.481985,32.066775
上海,成都,121.404085,31.084462,103.501068,30.508688
拉萨,北京,91.102880,30.033452,116.409349,40.184118
宁波,北京,121.462284,29.719588,116.409349,40.184118
北京,青岛,116.409349,40.184118,120.143936,36.456033
南昌,赣州,116.024443,28.663362,115.270276,25.706770
北京,新余,116.409349,40.184118,114.851203,27.847231
宁波,杭州,121.462284,29.719588,119.484701,29.904980
北京,拉萨,116.409349,40.184118,91.102880,30.033452
北京,上海,116.409349,40.184118,121.404085,31.084462
上海,深圳,121.404085,31.084462,113.981097,22.661217
上海,湖州,121.404085,31.084462,119.871227,30.746197
深圳,宁波,113.981097,22.661217,121.462284,29.719588
北京,呼伦贝尔,116.409349,40.184118,121.178174,49.651952
苏州,上海,120.641803,31.375971,121.404085,31.084462
北京,成都,116.409349,40.184118,103.501068,30.508688
上海,宁波,121.404085,31.084462,121.462284,29.719588
拉萨,上海,91.102880,30.033452,121.404085,31.084462
宁波,北京,121.462284,29.719588,116.409349,40.184118
北京,济南,116.409349,40.184118,117.083259,36.732532
杭州,北京,119.484701,29.904980,116.409349,40.184118
深圳,北京,113.981097,22.661217,116.409349,40.184118
广州,深圳,113.535310,23.357246,113.981097,22.661217
上海,北京,121.404085,31.084462,116.409349,40.184118
天津,上海,117.332395,39.308554,121.404085,31.084462
北京,石家庄,116.409349,40.184118,114.442846,38.128959
厦门,泉州,118.110688,24.683045,118.255655,25.211170
福州,三明,119.156890,26.064196,117.397601,26.299336
上海,深圳,121.404085,31.084462,113.981097,22.661217
上海,北京,121.404085,31.084462,116.409349,40.184118
上海,无锡,121.404085,31.084462,120.351630,31.661544
杭州,嘉兴,119.484701,29.904980,120.753920,30.654869
天津,深圳,117.332395,39.308554,113.981097,22.661217
深圳,嘉兴,113.981097,22.661217,120.753920,30.654869
北京,南京,116.409349,40.184118,118.842464,31.928759
天津,宁波,117.332395,39.308554,121.462284,29.719588
厦门,南平,118.110688,24.683045,118.143818,27.339471
天津,北京,117.332395,39.308554,116.409349,40.184118
杭州,上海,119.484701,29.904980,121.404085,31.084462
北京,深圳,116.409349,40.184118,113.981097,22.661217
北京,上海,116.409349,40.184118,121.404085,31.084462
拉萨,深圳,91.102880,30.033452,113.981097,22.661217
上海,芜湖,121.404085,31.084462,118.326618,31.066737
上海,武汉,121.404085,31.084462,114.338092,30.625654
杭州,上海,119.484701,29.904980,121.404085,31.084462
北京,天津,116.409349,40.184118,117.332395,39.308554
上海,厦门,121.404085,31.084462,118.110688,24.683045
北京,九江,116.409349,40.184118,115.437787,29.327980
深圳,广州,113.981097,22.661217,113.535310,23.357246
深圳,成都,113.981097,22.661217,103.501068,30.508688
拉萨,宁波,91.102880,30.033452,121.462284,29.719588
北京,上海,116.409349,40.184118,121.404085,31.084462
杭州,舟山,119.484701,29.904980,122.139172,30.055394
北京,长沙,116.409349,40.184118,113.152959,28.229513
上海,广州,121.404085,31.084462,113.535310,23.357246
深圳,杭州,113.981097,22.661217,119.484701,29.904980
深圳,厦门,113.981097,22.661217,118.110688,24.683045
上海,深圳,121.404085,31.084462,113.981097,22.661217
天津,北京,117.332395,39.308554,116.409349,40.184118
北京,上海,116.409349,40.184118,121.404085,31.084462
北京,武汉,116.409349,40.184118,114.338092,30.625654
北京,湖州,116.409349,40.184118,119.871227,30.746197
上海,苏州,121.404085,31.084462,120.641803,31.375971
深圳,北京,113.981097,22.661217,116.409349,40.184118
上海,青岛,121.404085,31.084462,120.143936,36.456033
广州,北京,113.535310,23.357246,116.409349,40.184118
厦门,南平,118.110688,24.683045,118.143818,27.339471
上海,杭州,121.404085,31.084462,119.484701,29.904980
拉萨,北京,91.102880,30.033452,116.409349,40.184118
深圳,九江,113.981097,22.661217,115.437787,29.327980
深圳,北京,113.981097,22.661217,116.409349,40.184118
北京,上海,116.409349,40.184118,121.404085,31.084462
上海,珠海,121.404085,31.084462,113.251443,22.161989
北京,成都,116.409349,40.184118,103.501068,30.508688
南京,上海,118.842464,31.928759,121.404085,31.084462
北京,郑州,116.409349,40.184118,113.471851,34.626363
上海,北京,121.404085,31.084462,116.409349,40.184118
北京,深圳,116.409349,40.184118,113.981097,22.661217
宁波,上海,121.462284,29.719588,121.404085,31.084462
杭州,深圳,119.484701,29.904980,113.981097,22.661217
重庆,深圳,107.864385,30.055374,113.981097,22.661217
北京,深圳,116.409349,40.184118,113.981097,22.661217
深圳,上海,113.981097,22.661217,121.404085,31.084462
上海,北京,121.404085,31.084462,116.409349,40.184118
上海,杭州,121.404085,31.084462,119.484701,29.904980
北京,西安,116.409349,40.184118,108.789504,34.110782
深圳,上海,113.981097,22.661217,121.404085,31.084462
北京,合肥,116.409349,40.184118,117.286266,31.977158
北京,天津,116.409349,40.184118,117.332395,39.308554
深圳,长沙,113.981097,22.661217,113.152959,28.229513
北京,沈阳,116.409349,40.184118,123.136692,42.093659
广州,上海,113.535310,23.357246,121.404085,31.084462
上海,深圳,121.404085,31.084462,113.981097,22.661217
北京,海口,116.409349,40.184118,110.425852,19.831096
北京,深圳,116.409349,40.184118,113.981097,22.661217
上海,舟山,121.404085,31.084462,122.139172,30.055394
北京,福州,116.409349,40.184118,119.156890,26.064196
深圳,天津,113.981097,22.661217,117.332395,39.308554
上海,苏州,121.404085,31.084462,120.641803,31.375971
宁波,杭州,121.462284,29.719588,119.484701,29.904980
北京,天津,116.409349,40.184118,117.332395,39.308554
北京,上海,116.409349,40.184118,121.404085,31.084462
上海,苏州,121.404085,31.084462,120.641803,31.375971
北京,武汉,116.409349,40.184118,114.338092,30.625654
广州,深圳,113.535310,23.357246,113.981097,22.661217
杭州,绍兴,119.484701,29.904980,120.628874,29.712672
北京,银川,116.409349,40.184118,106.341245,38.219284
上海,嘉兴,121.404085,31.084462,120.753920,30.654869
北京,天津,116.409349,40.184118,117.332395,39.308554
天津,北京,117.332395,39.308554,116.409349,40.184118
北京,天津,116.409349,40.184118,117.332395,39.308554
嘉兴,上海,120.753920,30.654869,121.404085,31.084462
嘉兴,北京,120.753920,30.654869,116.409349,40.184118
深圳,苏州,113.981097,22.661217,120.641803,31.375971
深圳,上海,113.981097,22.661217,121.404085,31.084462
北京,哈尔滨,116.409349,40.184118,127.962992,45.636991
上海,北京,121.404085,31.084462,116.409349,40.184118
杭州,北京,119.484701,29.904980,116.409349,40.184118
北京,昆明,116.409349,40.184118,102.875102,25.385298
抚州,佳木斯,116.433349,27.509297,132.200215,47.255087
深圳,东莞,113.981097,22.661217,113.877718,22.985248
上海,合肥,121.404085,31.084462,117.286266,31.977158
天津,嘉兴,117.332395,39.308554,120.753920,30.654869
上海,北京,121.404085,31.084462,116.409349,40.184118
深圳,广州,113.981097,22.661217,113.535310,23.357246
北京,深圳,116.409349,40.184118,113.981097,22.661217
嘉兴,北京,120.753920,30.654869,116.409349,40.184118
北京,大连,116.409349,40.184118,122.219576,39.612432
广州,上海,113.535310,23.357246,121.404085,31.084462
北京,广州,116.409349,40.184118,113.535310,23.357246
深圳,北京,113.981097,22.661217,116.409349,40.184118
北京,深圳,116.409349,40.184118,113.981097,22.661217
上海,深圳,121.404085,31.084462,113.981097,22.661217
北京,上海,116.409349,40.184118,121.404085,31.084462
深圳,广州,113.981097,22.661217,113.535310,23.357246
上海,温州,121.404085,31.084462,120.010122,27.662599
东莞,深圳,113.877718,22.985248,113.981097,22.661217
上海,福州,121.404085,31.084462,119.156890,26.064196
杭州,金华,119.484701,29.904980,119.954269,29.116454
北京,长沙,116.409349,40.184118,113.152959,28.229513
上海,苏州,121.404085,31.084462,120.641803,31.375971
北京,嘉兴,116.409349,40.184118,120.753920,30.654869
杭州,上海,119.484701,29.904980,121.404085,31.084462
北京,重庆,116.409349,40.184118,107.864385,30.055374
珠海,北京,113.251443,22.161989,116.409349,40.184118
深圳,清远,113.981097,22.661217,112.875910,24.311465
北京,杭州,116.409349,40.184118,119.484701,29.904980
珠海,广州,113.251443,22.161989,113.535310,23.357246
上饶,赣州,117.949765,28.760084,115.270276,25.706770
上海,苏州,121.404085,31.084462,120.641803,31.375971
北京,上海,116.409349,40.184118,121.404085,31.084462
上海,杭州,121.404085,31.084462,119.484701,29.904980
上海,苏州,121.404085,31.084462,120.641803,31.375971
宁波,北京,121.462284,29.719588,116.409349,40.184118
拉萨,嘉兴,91.102880,30.033452,120.753920,30.654869
北京,太原,116.409349,40.184118,112.314062,37.959541
北京,长春,116.409349,40.184118,125.766740,44.376873
深圳,南宁,113.981097,22.661217,108.464016,23.058413
上海,北京,121.404085,31.084462,116.409349,40.184118
深圳,珠海,113.981097,22.661217,113.251443,22.161989
上海,南京,121.404085,31.084462,118.842464,31.928759
武汉,深圳,114.338092,30.625654,113.981097,22.661217
苏州,上海,120.641803,31.375971,121.404085,31.084462
吉安,赣州,114.822849,26.973000,115.270276,25.706770
上海,深圳,121.404085,31.084462,113.981097,22.661217
杭州,北京,119.484701,29.904980,116.409349,40.184118
上海,金华,121.404085,31.084462,119.954269,29.116454
深圳,东莞,113.981097,22.661217,113.877718,22.985248
北京,上海,116.409349,40.184118,121.404085,31.084462
北京,深圳,116.409349,40.184118,113.981097,22.661217
天津,嘉兴,117.332395,39.308554,120.753920,30.654869
上海,嘉兴,121.404085,31.084462,120.753920,30.654869
北京,无锡,116.409349,40.184118,120.351630,31.661544
上海,苏州,121.404085,31.084462,120.641803,31.375971
东莞,深圳,113.877718,22.985248,113.981097,22.661217
深圳,新余,113.981097,22.661217,114.851203,27.847231
北京,鹰潭,116.409349,40.184118,117.106850,28.225382
北京,郑州,116.409349,40.184118,113.471851,34.626363
杭州,北京,119.484701,29.904980,116.409349,40.184118
北京,深圳,116.409349,40.184118,113.981097,22.661217
新余,北京,114.851203,27.847231,116.409349,40.184118
北京,乌鲁木齐,116.409349,40.184118,87.809463,43.531305
厦门,北京,118.110688,24.683045,116.409349,40.184118
深圳,北京,113.981097,22.661217,116.409349,40.184118
北京,深圳,116.409349,40.184118,113.981097,22.661217
珠海,深圳,113.251443,22.161989,113.981097,22.661217
深圳,南京,113.981097,22.661217,118.842464,31.928759
