城市名称,经度,纬度
北京,116.409349 ,40.184118 
天津,117.332395 ,39.308554 
石家庄,114.442846 ,38.128959 
唐山,118.340533 ,39.735886 
秦皇岛,119.183889 ,40.088488 
邯郸,114.545553 ,36.550924 
邢台,114.819198 ,37.211683 
保定,115.168614 ,39.022294 
张家口,115.029979 ,40.861148 
承德,117.551042 ,41.340428 
沧州,116.752696 ,38.265766 
廊坊,116.535845 ,39.111755 
衡水,115.852177 ,37.636265 
太原,112.314062 ,37.959541 
大同,113.719411 ,39.901785 
阳泉,113.501903 ,38.061953 
长治,112.916015 ,36.476157 
晋城,112.705076 ,35.610698 
朔州,112.731073 ,39.451543 
晋中,112.961856 ,37.327930 
运城,111.086591 ,35.194934 
忻州,112.430271 ,38.691438 
临汾,111.374331 ,36.235388 
吕梁,111.262529 ,37.676789 
呼和浩特,111.399371 ,40.581008 
包头,110.218042 ,41.641850 
乌海,106.882873 ,39.566963 
赤峰,118.904959 ,43.194734 
通辽,121.577320 ,43.818989 
鄂尔多斯,108.618594 ,39.409253 
呼伦贝尔,121.178174 ,49.651952 
巴彦淖尔,107.564662 ,41.587840 
乌兰察布,112.459882 ,41.680864 
兴安盟,121.385673 ,46.215799 
阿拉善盟,102.484793 ,40.499734 
锡林,115.488126 ,44.206547 
沈阳,123.136692 ,42.093659 
大连,122.219576 ,39.612432 
鞍山,123.311254 ,40.424490 
抚顺,124.653899 ,41.832797 
本溪,124.077614 ,41.190786 
丹东,124.406589 ,40.548591 
锦州,122.127607 ,41.705694 
营口,122.487313 ,40.359756 
阜新,121.959474 ,42.285698 
辽阳,123.411642 ,41.125395 
盘锦,121.997809 ,41.082524 
铁岭,124.172162 ,42.640902 
朝阳,120.009997 ,41.510374 
葫芦岛,120.192864 ,40.626174 
长春,125.766740 ,44.376873 
吉林,126.841290 ,43.577460 
四平,124.473024 ,43.569145 
辽源,125.304837 ,42.809734 
通化,125.948225 ,41.950800 
白山,127.285610 ,42.067664 
松原,124.475154 ,44.800198 
白城,123.010021 ,45.342611 
延边,129.130920 ,43.140008 
哈尔滨,127.962992 ,45.636991 
齐齐哈尔,124.533879 ,47.696763 
鸡西,132.302426 ,45.543172 
鹤岗,130.315054 ,47.760119 
双鸭山,132.144829 ,46.307246 
大庆,124.317028 ,46.527883 
伊春,129.199228 ,47.799658 
佳木斯,132.200215 ,47.255087 
七台河,130.862745 ,45.897278 
牡丹江,129.889484 ,44.592662 
黑河,126.996352 ,49.253099 
绥化,126.616088 ,46.890019 
大兴安岭,124.231796 ,52.321082 
上海,121.404085 ,31.084462 
南京,118.842464 ,31.928759 
无锡,120.351630 ,31.661544 
徐州,117.480706 ,34.258777 
常州,119.679057 ,31.692554 
苏州,120.641803 ,31.375971 
南通,120.996757 ,32.189372 
连云港,119.131888 ,34.532909 
淮安,118.961845 ,33.356152 
盐城,120.175286 ,33.515356 
扬州,119.471410 ,32.737590 
镇江,119.481985 ,32.066775 
泰州,120.057552 ,32.295852 
宿迁,118.518044 ,33.784582 
杭州,119.484701 ,29.904980 
宁波,121.462284 ,29.719588 
温州,120.010122 ,27.662599 
嘉兴,120.753920 ,30.654869 
湖州,119.871227 ,30.746197 
绍兴,120.628874 ,29.712672 
金华,119.954269 ,29.116454 
衢州,118.677517 ,28.934079 
舟山,122.139172 ,30.055394 
台州,121.089649 ,28.792008 
丽水,119.510528 ,28.198296 
合肥,117.286266 ,31.977158 
芜湖,118.326618 ,31.066737 
蚌埠,117.327664 ,33.111987 
淮南,116.733046 ,32.756870 
马鞍山,118.613763 ,31.532378 
淮北,116.694558 ,33.749210 
铜陵,117.894387 ,30.944860 
安庆,116.594269 ,30.610675 
黄山,118.077165 ,29.906089 
滁州,118.098885 ,32.544985 
阜阳,115.701808 ,32.915863 
宿州,117.212165 ,33.859665 
巢湖,117.781401 ,31.463891 
六安,116.312146 ,31.756059 
亳州,116.182134 ,33.432538 
池州,117.366095 ,30.283839 
宣城,118.856128 ,30.690931 
福州,119.156890 ,26.064196 
厦门,118.110688 ,24.683045 
莆田,118.879675 ,25.457140 
三明,117.397601 ,26.299336 
泉州,118.255655 ,25.211170 
漳州,117.441201 ,24.383196 
南平,118.143818 ,27.339471 
龙岩,116.739194 ,25.292066 
宁德,119.525337 ,27.152589 
南昌,116.024443 ,28.663362 
景德镇,117.269338 ,29.307125 
萍乡,113.900286 ,27.515516 
九江,115.437787 ,29.327980 
新余,114.851203 ,27.847231 
鹰潭,117.106850 ,28.225382 
赣州,115.270276 ,25.706770 
吉安,114.822849 ,26.973000 
宜春,115.061146 ,28.570098 
抚州,116.433349 ,27.509297 
上饶,117.949765 ,28.760084 
济南,117.083259 ,36.732532 
青岛,120.143936 ,36.456033 
淄博,118.010500 ,36.591470 
枣庄,117.310288 ,35.032560 
东营,118.615798 ,37.630332 
烟台,120.805460 ,37.236477 
潍坊,119.075692 ,36.536594 
济宁,116.675392 ,35.378547 
泰安,117.035711 ,36.000986 
威海,121.982231 ,37.119131 
日照,119.134088 ,35.584176 
莱芜,117.651839 ,36.286707 
临沂,118.279789 ,35.309265 
德州,116.645413 ,37.244336 
聊城,115.881984 ,36.458088 
滨州,117.864584 ,37.575764 
菏泽,115.689680 ,35.153399 
郑州,113.471851 ,34.626363 
开封,114.534457 ,34.608638 
洛阳,112.024228 ,34.286277 
平顶山,113.014207 ,33.796872 
安阳,114.636914 ,35.483243 
鹤壁,114.354193 ,35.644908 
新乡,114.092212 ,35.267077 
焦作,113.117443 ,35.106131 
濮阳,115.186180 ,35.818150 
许昌,113.709213 ,34.072765 
漯河,113.902628 ,33.656818 
三门峡,110.760617 ,34.229732 
南阳,112.286516 ,33.046253 
商丘,115.699501 ,34.290971 
