投资方所在城市,融资方所在城市
北京,深圳
北京,宁波
北京,嘉兴
上海,北京
上海,宁波
北京,上海
上海,杭州
北京,天津
上海,深圳
深圳,北京
上海,嘉兴
深圳,上海
福州,南平
北京,杭州
深圳,宁波
上海,北京
杭州,宁波
广州,深圳
深圳,嘉兴
上海,苏州
杭州,湖州
厦门,三明
天津,北京
深圳,珠海
杭州,上海
北京,上海
深圳,北京
北京,深圳
深圳,广州
北京,珠海
上海,新余
上海,北京
北京,上海
北京,成都
北京,烟台
天津,北京
上海,南京
宁波,上海
广州,深圳
上海,北京
北京,上海
北京,厦门
北京,深圳
北京,天津
深圳,北京
深圳,杭州
北京,苏州
深圳,上海
北京,芜湖
上海,天津
北京,广州
深圳,上海
广州,珠海
北京,宁波
深圳,新余
上海,镇江
北京,伊犁哈萨克自治州
上海,成都
拉萨,北京
宁波,北京
北京,青岛
南昌,赣州
北京,新余
宁波,杭州
北京,拉萨
北京,上海
上海,深圳
上海,湖州
深圳,宁波
北京,呼伦贝尔
苏州,上海
北京,成都
上海,宁波
拉萨,上海
宁波,北京
北京,济南
杭州,北京
深圳,北京
广州,深圳
上海,北京
天津,上海
北京,石家庄
厦门,泉州
福州,三明
上海,深圳
上海,北京
上海,无锡
杭州,嘉兴
天津,深圳
深圳,嘉兴
北京,南京
天津,宁波
厦门,南平
天津,北京
杭州,上海
北京,深圳
北京,上海
拉萨,深圳
上海,芜湖
上海,武汉
杭州,上海
北京,天津
上海,厦门
北京,九江
深圳,广州
深圳,成都
拉萨,宁波
北京,上海
杭州,舟山
北京,长沙
上海,广州
深圳,杭州
深圳,厦门
上海,深圳
天津,北京
北京,上海
北京,武汉
北京,湖州
上海,苏州
深圳,北京
上海,青岛
广州,北京
厦门,南平
上海,杭州
拉萨,北京
深圳,九江
深圳,北京
北京,上海
上海,珠海
北京,成都
南京,上海
北京,郑州
上海,北京
北京,深圳
宁波,上海
杭州,深圳
重庆,深圳
北京,深圳
深圳,上海
上海,北京
上海,杭州
北京,西安
深圳,上海
北京,合肥
北京,天津
伊犁哈萨克自治州,北京
深圳,长沙
北京,沈阳
广州,上海
上海,深圳
北京,海口
北京,深圳
上海,舟山
北京,福州
深圳,天津
上海,苏州
宁波,杭州
北京,天津
北京,上海
上海,苏州
北京,武汉
广州,深圳
杭州,绍兴
北京,银川
上海,嘉兴
北京,天津
天津,北京
北京,天津
嘉兴,上海
嘉兴,北京
深圳,苏州
深圳,上海
北京,哈尔滨
上海,北京
杭州,北京
北京,昆明
抚州,佳木斯
深圳,东莞
上海,合肥
天津,嘉兴
上海,北京
深圳,广州
北京,深圳
嘉兴,北京
北京,大连
广州,上海
北京,广州
深圳,北京
北京,深圳
上海,深圳
北京,上海
深圳,广州
上海,温州
东莞,深圳
喀什地区,北京
上海,福州
杭州,金华
北京,长沙
上海,苏州
北京,嘉兴
杭州,上海
北京,重庆
珠海,北京
深圳,清远
北京,杭州
珠海,广州
上饶,赣州
上海,苏州
北京,上海
上海,杭州
上海,苏州
宁波,北京
拉萨,嘉兴
北京,太原
北京,长春
深圳,南宁
上海,北京
深圳,珠海
上海,南京
武汉,深圳
苏州,上海
吉安,赣州
上海,深圳
杭州,北京
上海,金华
深圳,东莞
北京,上海
北京,深圳
天津,嘉兴
上海,嘉兴
北京,无锡
上海,苏州
东莞,深圳
深圳,新余
北京,鹰潭
北京,郑州
杭州,北京
北京,深圳
新余,北京
北京,乌鲁木齐
厦门,北京
深圳,北京
北京,深圳
珠海,深圳
深圳,南京
苏州,北京
南京,南平
深圳,广州
上海,北京
福州,上海
北京,上海
北京,上海
上海,重庆
南京,北京
宁波,深圳
北京,宿迁
深圳,惠州
北京,上海
深圳,广州
苏州,上海
上海,长沙
杭州,温州
深圳,武汉
深圳,赣州
北京,伊犁哈萨克自治州
宁波,上海
深圳,成都
天津,上海
湖州,杭州
珠海,上海
深圳,西安
北京,伊犁哈萨克自治州
银川,吴忠
北京,南京
深圳,惠州
北京,杭州
北京,宁波
嘉兴,北京
上海,绍兴
上海,九江
长沙,深圳
北京,上海
广州,深圳
杭州,北京
北京,济南
珠海,北京
上海,常州
深圳,北京
北京,伊犁哈萨克自治州
深圳,惠州
上海,深圳
上海,苏州
北京,成都
天津,北京
广州,深圳
嘉兴,上海
厦门,北京
上海,南通
青岛,上海
成都,北京
北京,南宁
北京,天津
深圳,成都
广州,上海
北京,天津
北京,拉萨
北京,天津
上海,拉萨
西安,深圳
佛山,广州
深圳,昆明
深圳,郑州
北京,天津
北京,西安
北京,青岛
珠海,广州
上海,成都
上海,郑州
成都,深圳
深圳,东莞
上海,成都
北京,苏州
深圳,北京
泉州,南平
宁波,北京
广州,北京
北京,武汉
上海,伊犁哈萨克自治州
成都,上海
重庆,上海
武汉,北京
上海,嘉兴
杭州,上海
上海,宁波
天津,北京
北京,深圳
成都,北京
上海,深圳
北京,天津
上海,鹰潭
上海,济南
深圳,拉萨
厦门,福州
北京,上海
广州,深圳
广州,深圳
上海,北京
北京,郑州
上海,宁波
南京,深圳
北京,廊坊
北京,南昌
深圳,济南
北京,成都
杭州,上海
重庆,深圳
北京,潍坊
佛山,深圳
深圳,合肥
新余,北京
深圳,北京
上海,宁波
上海,杭州
上海,北京
北京,上海
上海,深圳
上海,杭州
北京,南京
北京,苏州
上海,苏州
珠海,北京
无锡,上海
北京,伊犁哈萨克自治州
北京,天津
成都,达州
北京,广州
上海,武汉
上海,南京
上海,宁波
上海,深圳
广州,深圳
上海,南昌
北京,南通
重庆,北京
北京,天津
上海,北京
北京,天津
上海,广州
广州,北京
杭州,深圳
北京,青岛
深圳,北京
北京,宁波
上海,宁波
北京,上海
泉州,南平
上海,嘉兴
上海,苏州
拉萨,北京
青岛,北京
北京,承德
北京,绥化
珠海,宁波
深圳,芜湖
深圳,青岛
抚州,赣州
上海,南通
广州,深圳
上海,天津
北京,深圳
上海,南京
南京,上海
深圳,惠州
上海,大连
上海,西安
广州,佛山
福州,厦门
北京,上海
上海,苏州
上海,深圳
苏州,上海
杭州,宁波
北京,青岛
上海,杭州
北京,合肥
北京,太原
天津,北京
天津,北京
深圳,新余
济南,菏泽
北京,成都
北京,深圳
北京,上海
成都,石家庄
拉萨,上海
深圳,上海
上海,赣州
郑州,深圳
苏州,宁波
济南,青岛
北京,常州
合肥,上海
天津,珠海
北京,上海
宁波,上海
北京,天津
上海,杭州
广州,深圳
北京,宁波
北京,上海
北京,广州
西安,嘉兴
青岛,深圳
厦门,上海
新余,深圳
上海,北京
上海,青岛
北京,宁波
深圳,武汉
北京,重庆
苏州,上海
深圳,广州
深圳,成都
喀什地区,深圳
南京,伊犁哈萨克自治州
北京,贵阳
深圳,重庆
新余,上海
北京,天津
上海,宁波
上海,无锡
上海,南京
苏州,上海
珠海,上海
深圳,上海
广州,北京
上海,哈尔滨
上海,南宁
郑州,北京
青岛,新余
绍兴,杭州
拉萨,杭州
拉萨,成都
北京,金华
深圳,福州
厦门,深圳
